ad_id,brand_category,competitor_page,ad_creation_time,ad_creative_body,spend_lower_inr,spend_upper_inr,impressions_lower,impressions_upper,publisher_platform,region_distribution,target_age_group,cta_type,is_active
AD_100035,Bebodywise,Nua Woman,2025-12-04,Clinically proven results in 30 days.,4689,8299,47822,101800,Instagram,India - East,45-54,Learn More,True
AD_100036,Bebodywise,Setu Nutrition,2025-11-17,Doctor recommended wellness formula.,1604,13958,27018,88227,Audience Network,India - East,18-24,Shop Now,False
AD_100037,Little Joys,Slurrp Farm,2025-12-19,Dermatologist tested and approved.,18972,45610,24975,56286,Messenger,India - East,25-34,Sign Up,False
AD_100038,Bebodywise,Nua Woman,2025-08-30,Boost immunity with natural ingredients.,11494,34326,14145,57962,Instagram,India - North,35-44,Order Now,False
AD_100039,Bebodywise,Setu Nutrition,2025-11-04,Special festive discount live now.,13674,35410,22857,144137,Messenger,India - South,45-54,Sign Up,False
AD_100040,Little Joys,Slurrp Farm,2025-09-09,Clinically proven results in 30 days.,13471,34991,79225,259459,Facebook,India - West,25-34,Order Now,False
AD_100041,Man Matters,Traya,2026-02-01,Feel confident every day.,17764,47252,77584,109610,Messenger,India - South,35-44,Order Now,True
AD_100042,Little Joys,Brainiac,2025-09-07,Flat 40% off on your first purchase.,18645,27876,77100,207650,Facebook,India - East,18-24,Shop Now,False
AD_100043,Bebodywise,Setu Nutrition,2025-12-03,Doctor recommended wellness formula.,17448,29308,95504,175788,Messenger,India - North,25-34,Shop Now,False
AD_100044,Bebodywise,Setu Nutrition,2025-10-02,Flat 40% off on your first purchase.,2286,5402,57958,74744,Messenger,India - East,35-44,Shop Now,False
AD_100045,Little Joys,Brainiac,2025-10-10,Clinically proven results in 30 days.,1010,13385,58023,134533,Instagram,India - West,18-24,Sign Up,True
AD_100046,Little Joys,Brainiac,2026-02-13,Clinically proven results in 30 days.,4890,26747,32002,144972,Audience Network,India - North,18-24,Sign Up,False
AD_100047,Bebodywise,Plix,2025-09-27,Special festive discount live now.,17104,26351,77016,108170,Instagram,India - South,18-24,Learn More,True
AD_100048,Man Matters,The Man Company,2025-12-20,Special festive discount live now.,18444,37719,28833,141503,Audience Network,India - North,18-24,Learn More,False
AD_100049,Little Joys,Slurrp Farm,2026-01-02,Give your baby the best nutrition.,17632,37664,80109,134687,Messenger,India - West,25-34,Learn More,False
AD_100050,Little Joys,Supples,2025-11-30,Give your baby the best nutrition.,5239,33453,62886,193572,Facebook,India - North,45-54,Sign Up,True
AD_100051,Bebodywise,Plix,2026-01-24,Dermatologist tested and approved.,14371,17037,6638,205071,Instagram,India - West,18-24,Shop Now,False
AD_100052,Little Joys,Brainiac,2025-09-02,Dermatologist tested and approved.,7447,30196,59215,198623,Audience Network,India - South,45-54,Learn More,True
AD_100053,Man Matters,Traya,2025-09-25,Flat 40% off on your first purchase.,11972,41686,71650,251967,Facebook,India - East,25-34,Sign Up,True
AD_100054,Man Matters,Traya,2025-10-12,Transform your hair naturally.,10094,15947,81399,184664,Facebook,India - East,45-54,Order Now,True
AD_100055,Bebodywise,Setu Nutrition,2025-09-30,Feel confident every day.,1261,11253,60792,97320,Instagram,India - North,45-54,Order Now,False
AD_100056,Little Joys,Brainiac,2025-12-23,Give your baby the best nutrition.,15046,20649,60951,127572,Facebook,India - East,18-24,Order Now,True
AD_100057,Bebodywise,Plix,2025-10-25,Transform your hair naturally.,15321,30508,57701,241745,Messenger,India - East,45-54,Order Now,False
AD_100058,Bebodywise,Nua Woman,2025-09-21,Flat 40% off on your first purchase.,2411,7048,14697,195599,Instagram,India - West,25-34,Order Now,True
AD_100059,Bebodywise,Plix,2025-09-26,Boost immunity with natural ingredients.,13208,26497,64513,232767,Messenger,India - North,25-34,Learn More,True
AD_100060,Bebodywise,Plix,2025-08-25,Transform your hair naturally.,3665,18507,89991,200796,Audience Network,India - West,45-54,Order Now,False
AD_100061,Man Matters,The Man Company,2025-08-25,Clinically proven results in 30 days.,17543,31334,18958,196822,Instagram,India - West,18-24,Learn More,False
AD_100062,Little Joys,Brainiac,2025-09-03,Limited time offer! Get healthier skin today.,7130,29803,46727,160331,Facebook,India - West,18-24,Learn More,False
AD_100063,Man Matters,Traya,2025-12-31,Doctor recommended wellness formula.,17956,21581,49587,209901,Messenger,India - West,35-44,Sign Up,True
AD_100064,Little Joys,Supples,2025-10-09,Special festive discount live now.,12557,20054,86389,191829,Audience Network,India - North,25-34,Shop Now,True
AD_100065,Man Matters,The Man Company,2025-10-24,Limited time offer! Get healthier skin today.,19048,22033,78068,241416,Instagram,India - East,25-34,Shop Now,False
AD_100066,Man Matters,The Man Company,2026-01-19,Boost immunity with natural ingredients.,10260,36760,48101,168668,Audience Network,India - West,25-34,Sign Up,False
AD_100067,Man Matters,The Man Company,2025-12-10,Dermatologist tested and approved.,14871,41325,43207,145707,Facebook,India - West,25-34,Sign Up,False
AD_100068,Man Matters,Traya,2025-10-01,Doctor recommended wellness formula.,8678,16523,83797,185289,Instagram,India - North,45-54,Sign Up,True
AD_100069,Man Matters,Traya,2025-11-16,Dermatologist tested and approved.,17607,22023,9259,70890,Facebook,India - West,25-34,Learn More,True
AD_100070,Man Matters,The Man Company,2026-01-22,Limited time offer! Get healthier skin today.,8221,18583,91182,250999,Instagram,India - South,35-44,Order Now,False
AD_100071,Man Matters,Beardo,2025-09-05,Doctor recommended wellness formula.,19177,42539,18959,110607,Facebook,India - North,35-44,Learn More,True
AD_100072,Bebodywise,Nua Woman,2025-09-23,Doctor recommended wellness formula.,7358,12535,99775,176066,Audience Network,India - East,35-44,Shop Now,True
AD_100073,Bebodywise,Nua Woman,2026-02-03,Special festive discount live now.,12423,21824,11733,151491,Audience Network,India - West,35-44,Learn More,True
AD_100074,Man Matters,The Man Company,2026-02-05,Give your baby the best nutrition.,5487,32054,41865,164883,Instagram,India - South,45-54,Order Now,True
AD_100075,Bebodywise,Plix,2026-01-31,Boost immunity with natural ingredients.,5340,32079,75778,193244,Instagram,India - North,35-44,Sign Up,True
AD_100076,Bebodywise,Plix,2025-11-18,Clinically proven results in 30 days.,5531,19955,25532,166070,Audience Network,India - East,35-44,Shop Now,False
AD_100077,Bebodywise,Setu Nutrition,2025-10-25,Flat 40% off on your first purchase.,18899,29077,8913,70447,Instagram,India - North,35-44,Order Now,False
AD_100078,Little Joys,Supples,2025-09-16,Special festive discount live now.,18749,37283,94169,141805,Audience Network,India - South,25-34,Order Now,False
AD_100079,Bebodywise,Nua Woman,2026-01-16,Clinically proven results in 30 days.,11788,14068,21304,77329,Facebook,India - South,25-34,Shop Now,True
AD_100080,Bebodywise,Plix,2025-09-20,Limited time offer! Get healthier skin today.,3822,24027,96187,264700,Messenger,India - North,35-44,Order Now,True
AD_100081,Man Matters,The Man Company,2025-11-26,Give your baby the best nutrition.,1186,12125,27677,124690,Facebook,India - North,25-34,Order Now,False
AD_100082,Little Joys,Supples,2025-09-30,Doctor recommended wellness formula.,17592,36981,83709,201258,Audience Network,India - West,35-44,Shop Now,False
AD_100083,Little Joys,Slurrp Farm,2026-02-13,Feel confident every day.,9069,28830,82276,96799,Instagram,India - East,25-34,Shop Now,True
AD_100084,Bebodywise,Nua Woman,2025-12-05,Special festive discount live now.,11108,17668,35182,219007,Instagram,India - East,35-44,Shop Now,True
AD_100085,Bebodywise,Setu Nutrition,2025-09-05,Limited time offer! Get healthier skin today.,14099,38119,85693,144218,Facebook,India - North,18-24,Shop Now,False
AD_100086,Bebodywise,Setu Nutrition,2026-01-19,Transform your hair naturally.,16783,23686,66247,250628,Audience Network,India - South,35-44,Order Now,True
AD_100087,Man Matters,The Man Company,2026-02-02,Transform your hair naturally.,7161,21779,35406,48852,Audience Network,India - East,18-24,Shop Now,False
AD_100088,Little Joys,Supples,2026-01-30,Transform your hair naturally.,6217,20817,90897,251521,Audience Network,India - East,35-44,Order Now,False
AD_100089,Bebodywise,Nua Woman,2025-11-28,Doctor recommended wellness formula.,6476,27148,30154,207897,Messenger,India - East,25-34,Shop Now,False
AD_100090,Man Matters,Traya,2026-02-16,Feel confident every day.,2051,9749,52524,243933,Instagram,India - North,35-44,Order Now,True
AD_100091,Bebodywise,Nua Woman,2025-12-22,Clinically proven results in 30 days.,14771,24055,59183,222958,Messenger,India - North,18-24,Sign Up,True
AD_100092,Little Joys,Slurrp Farm,2025-11-19,Clinically proven results in 30 days.,17373,45339,7622,189108,Messenger,India - West,25-34,Sign Up,True
AD_100093,Bebodywise,Setu Nutrition,2025-10-18,Feel confident every day.,3579,27231,23009,204899,Audience Network,India - East,25-34,Shop Now,True
AD_100094,Little Joys,Slurrp Farm,2025-09-03,Limited time offer! Get healthier skin today.,1342,14795,87529,282399,Instagram,India - North,18-24,Shop Now,False
AD_100095,Little Joys,Slurrp Farm,2025-12-04,Dermatologist tested and approved.,13192,19305,25208,133165,Instagram,India - North,25-34,Shop Now,True
AD_100096,Little Joys,Brainiac,2026-02-09,Special festive discount live now.,8393,21937,91817,264124,Audience Network,India - East,25-34,Shop Now,True
AD_100097,Bebodywise,Nua Woman,2025-11-14,Transform your hair naturally.,6645,30677,23579,124779,Audience Network,India - North,45-54,Sign Up,True
AD_100098,Bebodywise,Nua Woman,2025-09-06,Limited time offer! Get healthier skin today.,2045,21693,12385,29625,Audience Network,India - West,25-34,Order Now,False
AD_100099,Bebodywise,Plix,2025-10-08,Special festive discount live now.,8775,29573,89623,176124,Facebook,India - East,18-24,Sign Up,False
AD_100100,Bebodywise,Nua Woman,2026-01-09,Doctor recommended wellness formula.,12049,29251,71721,244504,Messenger,India - East,18-24,Shop Now,True
AD_100101,Little Joys,Brainiac,2025-10-26,Clinically proven results in 30 days.,14612,19923,97521,213574,Facebook,India - West,18-24,Learn More,True
AD_100102,Little Joys,Supples,2026-02-01,Dermatologist tested and approved.,15286,30279,96010,200489,Audience Network,India - West,45-54,Sign Up,False
AD_100103,Little Joys,Slurrp Farm,2026-01-04,Feel confident every day.,8256,34396,41057,118189,Instagram,India - South,45-54,Learn More,False
AD_100104,Bebodywise,Plix,2025-09-11,Doctor recommended wellness formula.,15635,18997,30700,102068,Facebook,India - East,35-44,Order Now,True
AD_100105,Little Joys,Brainiac,2025-11-06,Clinically proven results in 30 days.,1986,28480,54867,211944,Audience Network,India - North,45-54,Sign Up,False
AD_100106,Bebodywise,Nua Woman,2025-10-12,Give your baby the best nutrition.,18125,35408,85162,148567,Messenger,India - North,45-54,Shop Now,True
AD_100107,Bebodywise,Nua Woman,2025-10-26,Dermatologist tested and approved.,12733,29347,54336,227740,Audience Network,India - South,45-54,Sign Up,False
AD_100108,Bebodywise,Nua Woman,2025-09-25,Flat 40% off on your first purchase.,9094,17908,98787,258832,Facebook,India - West,25-34,Sign Up,False
AD_100109,Little Joys,Brainiac,2025-11-11,Flat 40% off on your first purchase.,5387,10717,56038,72044,Facebook,India - East,18-24,Shop Now,False
AD_100110,Man Matters,The Man Company,2025-12-30,Doctor recommended wellness formula.,5216,27714,25407,176807,Messenger,India - East,45-54,Sign Up,False
AD_100111,Little Joys,Slurrp Farm,2026-01-27,Limited time offer! Get healthier skin today.,4737,30729,61683,209329,Instagram,India - North,18-24,Learn More,True
AD_100112,Man Matters,The Man Company,2025-09-05,Feel confident every day.,2982,7314,37380,65294,Messenger,India - South,25-34,Order Now,False
AD_100113,Bebodywise,Plix,2025-11-20,Transform your hair naturally.,8318,13984,10389,29291,Messenger,India - North,35-44,Order Now,False
AD_100114,Little Joys,Slurrp Farm,2025-11-10,Feel confident every day.,14882,37570,89121,202583,Facebook,India - North,45-54,Learn More,True
AD_100115,Little Joys,Slurrp Farm,2026-01-13,Limited time offer! Get healthier skin today.,13475,42145,98433,112973,Instagram,India - South,45-54,Sign Up,True
AD_100116,Bebodywise,Nua Woman,2025-10-02,Dermatologist tested and approved.,5048,9106,41862,150105,Instagram,India - East,18-24,Sign Up,False
AD_100117,Little Joys,Slurrp Farm,2025-10-08,Give your baby the best nutrition.,16882,41843,16437,119490,Messenger,India - North,45-54,Learn More,False
AD_100118,Little Joys,Supples,2025-12-18,Limited time offer! Get healthier skin today.,10972,40514,95211,216088,Audience Network,India - West,18-24,Sign Up,False
AD_100119,Bebodywise,Nua Woman,2025-08-25,Limited time offer! Get healthier skin today.,16224,26644,69806,103099,Instagram,India - North,45-54,Shop Now,True
AD_100120,Man Matters,Beardo,2025-12-09,Dermatologist tested and approved.,13988,25469,43771,62778,Instagram,India - East,18-24,Shop Now,False
AD_100121,Man Matters,Beardo,2025-11-24,Limited time offer! Get healthier skin today.,7547,27547,76465,222107,Facebook,India - West,25-34,Order Now,False
AD_100122,Bebodywise,Setu Nutrition,2025-08-30,Clinically proven results in 30 days.,6425,29117,84519,264993,Audience Network,India - South,35-44,Order Now,False
AD_100123,Little Joys,Slurrp Farm,2026-02-07,Give your baby the best nutrition.,12187,34050,31620,44123,Audience Network,India - North,25-34,Shop Now,False
AD_100124,Little Joys,Supples,2025-11-10,Clinically proven results in 30 days.,2707,13672,70030,223221,Instagram,India - South,25-34,Order Now,True
AD_100125,Man Matters,Traya,2026-01-08,Transform your hair naturally.,19210,32588,55087,133950,Messenger,India - North,18-24,Shop Now,False
AD_100126,Man Matters,The Man Company,2026-02-16,Doctor recommended wellness formula.,18956,48358,36495,99382,Instagram,India - East,25-34,Sign Up,True
AD_100127,Man Matters,Traya,2025-08-25,Transform your hair naturally.,18205,43208,69106,153141,Instagram,India - East,25-34,Order Now,False
AD_100128,Little Joys,Slurrp Farm,2026-02-12,Doctor recommended wellness formula.,18263,27224,50696,130786,Instagram,India - West,35-44,Learn More,True
AD_100129,Man Matters,Traya,2025-12-07,Flat 40% off on your first purchase.,15680,45317,97187,188470,Facebook,India - North,18-24,Learn More,False
AD_100130,Man Matters,Beardo,2025-12-26,Transform your hair naturally.,7598,18542,95187,136750,Instagram,India - East,35-44,Learn More,True
AD_100131,Little Joys,Brainiac,2025-10-06,Feel confident every day.,16389,32969,85924,159354,Audience Network,India - North,45-54,Order Now,True
AD_100132,Little Joys,Supples,2025-12-01,Give your baby the best nutrition.,6921,17410,61765,152133,Audience Network,India - West,18-24,Order Now,False
AD_100133,Little Joys,Brainiac,2025-11-26,Transform your hair naturally.,11918,28767,11067,163017,Facebook,India - East,45-54,Order Now,False
AD_100134,Man Matters,Beardo,2025-08-27,Feel confident every day.,9464,22502,6473,78145,Messenger,India - West,25-34,Order Now,True
AD_100135,Little Joys,Slurrp Farm,2025-09-28,Special festive discount live now.,7731,26561,92071,196681,Facebook,India - North,35-44,Order Now,False
AD_100136,Man Matters,Traya,2025-09-24,Doctor recommended wellness formula.,18621,45310,34660,99453,Messenger,India - South,25-34,Order Now,True
AD_100137,Little Joys,Supples,2025-12-12,Flat 40% off on your first purchase.,8739,32377,78300,117554,Messenger,India - East,18-24,Order Now,True
AD_100138,Man Matters,Traya,2025-09-03,Flat 40% off on your first purchase.,5104,30183,23414,155353,Messenger,India - North,25-34,Order Now,True
AD_100139,Man Matters,Beardo,2025-11-10,Clinically proven results in 30 days.,12269,23382,23432,159780,Instagram,India - South,25-34,Order Now,True
AD_100140,Man Matters,Traya,2025-09-23,Give your baby the best nutrition.,5885,32891,51673,160534,Instagram,India - South,45-54,Order Now,False
AD_100141,Man Matters,Beardo,2025-12-26,Transform your hair naturally.,1563,8047,25770,184002,Facebook,India - South,18-24,Learn More,True
AD_100142,Little Joys,Supples,2025-08-31,Flat 40% off on your first purchase.,10602,38457,43498,184127,Facebook,India - North,45-54,Learn More,True
AD_100143,Little Joys,Brainiac,2025-12-15,Clinically proven results in 30 days.,16158,38648,71901,140058,Facebook,India - South,18-24,Order Now,True
AD_100144,Bebodywise,Setu Nutrition,2026-02-06,Dermatologist tested and approved.,15322,43490,92190,192634,Messenger,India - West,25-34,Shop Now,True
AD_100145,Man Matters,The Man Company,2026-01-26,Dermatologist tested and approved.,14184,23438,21606,210494,Facebook,India - West,35-44,Shop Now,False
AD_100146,Bebodywise,Nua Woman,2025-11-17,Limited time offer! Get healthier skin today.,14707,39641,20926,211310,Facebook,India - West,45-54,Learn More,True
AD_100147,Bebodywise,Nua Woman,2026-01-28,Boost immunity with natural ingredients.,5722,32641,36762,176288,Messenger,India - North,35-44,Order Now,False
AD_100148,Little Joys,Brainiac,2026-01-17,Transform your hair naturally.,18224,39351,96775,114634,Messenger,India - West,45-54,Order Now,False
AD_100149,Bebodywise,Plix,2026-02-16,Dermatologist tested and approved.,5792,12010,36224,100260,Messenger,India - North,45-54,Sign Up,True
AD_100150,Bebodywise,Plix,2025-12-04,Clinically proven results in 30 days.,12441,38733,61192,161173,Facebook,India - West,35-44,Order Now,False
AD_100151,Little Joys,Brainiac,2025-09-03,Flat 40% off on your first purchase.,8717,21382,51674,196352,Audience Network,India - East,35-44,Order Now,True
AD_100152,Bebodywise,Nua Woman,2025-12-16,Doctor recommended wellness formula.,3193,7943,5895,77864,Audience Network,India - South,18-24,Shop Now,False
AD_100153,Man Matters,Traya,2026-02-01,Give your baby the best nutrition.,5060,9429,43877,55600,Audience Network,India - North,18-24,Order Now,True
AD_100154,Man Matters,The Man Company,2025-09-24,Flat 40% off on your first purchase.,13412,41524,36179,167460,Instagram,India - North,18-24,Sign Up,True
AD_100155,Bebodywise,Plix,2026-02-14,Clinically proven results in 30 days.,11358,25905,17990,35363,Instagram,India - East,25-34,Learn More,True
AD_100156,Man Matters,The Man Company,2026-01-11,Boost immunity with natural ingredients.,12353,22422,54516,71254,Audience Network,India - East,25-34,Order Now,False
AD_100157,Little Joys,Brainiac,2025-10-07,Flat 40% off on your first purchase.,18125,39407,57614,92385,Messenger,India - North,25-34,Sign Up,True
AD_100158,Little Joys,Slurrp Farm,2025-09-12,Feel confident every day.,1208,30282,40746,69490,Instagram,India - West,45-54,Learn More,False
AD_100159,Little Joys,Brainiac,2025-10-02,Special festive discount live now.,12076,34229,14274,87918,Instagram,India - East,25-34,Sign Up,False
AD_100160,Bebodywise,Plix,2025-11-13,Flat 40% off on your first purchase.,18135,41091,49621,130912,Audience Network,India - North,35-44,Learn More,False
AD_100161,Bebodywise,Setu Nutrition,2025-11-20,Special festive discount live now.,8311,21396,55873,191850,Instagram,India - North,35-44,Order Now,True
AD_100162,Little Joys,Supples,2025-11-16,Transform your hair naturally.,8954,38451,88028,165364,Instagram,India - East,35-44,Sign Up,True
AD_100163,Bebodywise,Plix,2025-11-01,Dermatologist tested and approved.,13025,32799,74754,100222,Audience Network,India - East,45-54,Shop Now,False
AD_100164,Little Joys,Brainiac,2025-09-12,Feel confident every day.,9418,32153,89636,243870,Audience Network,India - East,25-34,Shop Now,True
AD_100165,Man Matters,The Man Company,2025-12-21,Give your baby the best nutrition.,14202,19529,90269,242902,Facebook,India - East,45-54,Order Now,False
AD_100166,Little Joys,Brainiac,2025-11-02,Give your baby the best nutrition.,9067,16551,65707,85887,Messenger,India - West,35-44,Order Now,False
AD_100167,Man Matters,The Man Company,2025-09-06,Transform your hair naturally.,11313,29406,52098,212016,Messenger,India - North,35-44,Sign Up,False
AD_100168,Bebodywise,Plix,2026-02-05,Boost immunity with natural ingredients.,17258,19324,75436,235306,Facebook,India - West,35-44,Learn More,True
AD_100169,Bebodywise,Setu Nutrition,2026-01-30,Limited time offer! Get healthier skin today.,17998,42478,78282,204792,Messenger,India - West,18-24,Sign Up,True
AD_100170,Little Joys,Brainiac,2025-08-31,Feel confident every day.,8912,14700,53705,163615,Audience Network,India - West,25-34,Sign Up,False
AD_100171,Bebodywise,Setu Nutrition,2025-11-25,Give your baby the best nutrition.,11815,22590,71758,136729,Facebook,India - West,35-44,Order Now,True
AD_100172,Little Joys,Supples,2025-08-26,Boost immunity with natural ingredients.,5940,27144,12851,43287,Instagram,India - East,18-24,Sign Up,False
AD_100173,Little Joys,Slurrp Farm,2025-10-01,Feel confident every day.,2326,17858,49963,120555,Messenger,India - South,35-44,Order Now,False
AD_100174,Man Matters,The Man Company,2025-11-13,Special festive discount live now.,19117,43626,99033,142141,Audience Network,India - North,45-54,Learn More,True
AD_100175,Man Matters,The Man Company,2025-11-20,Dermatologist tested and approved.,16950,37609,37843,197883,Facebook,India - South,45-54,Order Now,False
AD_100176,Little Joys,Supples,2026-01-23,Flat 40% off on your first purchase.,7702,26643,43668,127630,Audience Network,India - East,18-24,Order Now,True
AD_100177,Little Joys,Slurrp Farm,2026-01-19,Boost immunity with natural ingredients.,5876,26309,9979,80317,Facebook,India - North,45-54,Order Now,False
AD_100178,Bebodywise,Setu Nutrition,2026-01-12,Boost immunity with natural ingredients.,6284,27514,69907,238720,Audience Network,India - East,18-24,Sign Up,True
AD_100179,Little Joys,Slurrp Farm,2025-09-01,Limited time offer! Get healthier skin today.,9663,27391,51120,191695,Audience Network,India - East,45-54,Learn More,False
AD_100180,Little Joys,Brainiac,2025-10-27,Boost immunity with natural ingredients.,11102,38073,57861,132005,Facebook,India - West,45-54,Sign Up,False
AD_100181,Bebodywise,Setu Nutrition,2025-08-26,Boost immunity with natural ingredients.,12922,18618,23988,122015,Instagram,India - North,18-24,Learn More,False
AD_100182,Bebodywise,Setu Nutrition,2025-09-01,Feel confident every day.,13757,29281,16205,168825,Messenger,India - South,25-34,Order Now,False
AD_100183,Little Joys,Brainiac,2026-02-05,Special festive discount live now.,6695,9101,66396,111126,Messenger,India - East,45-54,Learn More,False
AD_100184,Little Joys,Slurrp Farm,2025-10-24,Transform your hair naturally.,12256,15702,14505,194158,Messenger,India - West,25-34,Order Now,True
AD_100185,Bebodywise,Nua Woman,2025-08-25,Special festive discount live now.,16302,28769,35768,110722,Messenger,India - West,35-44,Shop Now,False
AD_100186,Little Joys,Supples,2025-12-08,Limited time offer! Get healthier skin today.,3225,17267,53754,155598,Audience Network,India - South,45-54,Shop Now,True
AD_100187,Little Joys,Brainiac,2025-09-24,Doctor recommended wellness formula.,12935,26675,33759,181919,Facebook,India - East,18-24,Learn More,False
AD_100188,Bebodywise,Nua Woman,2026-02-16,Clinically proven results in 30 days.,3098,15679,46435,138929,Audience Network,India - West,45-54,Order Now,True
AD_100189,Little Joys,Brainiac,2026-01-31,Clinically proven results in 30 days.,7615,29831,74697,224624,Audience Network,India - East,25-34,Learn More,True
AD_100190,Bebodywise,Setu Nutrition,2025-09-02,Boost immunity with natural ingredients.,18328,27519,11753,90671,Messenger,India - East,35-44,Sign Up,False
AD_100191,Bebodywise,Setu Nutrition,2026-01-19,Give your baby the best nutrition.,12953,41930,69305,267430,Instagram,India - North,18-24,Shop Now,True
AD_100192,Bebodywise,Setu Nutrition,2026-02-12,Special festive discount live now.,13140,23359,36926,130271,Instagram,India - East,45-54,Shop Now,True
